105	IPAD3START	FLEX IPAD 3 START	FLEX ENCENDIDO	APPLE	IPAD 3	ON/OFF		 $120 	 $-   
106	SHIPA3	SIM HOLDER IPAD 3	SIM HOLDER	APPLE	IPAD 3	IPAD 3		 $50 	 $-   
107	TIPA3	TOUCH IPAD 3	TOUCH	APPLE	IPAD 3			 $300 	 $950 
108	CCIPAD4	FLEX IPAD 4 CENTRO DE CARGA	FLEX CENTRO DE CARGA	APPLE	IPAD 4	CENTRO DE CARGA		 $150 	 $-   
109	FIPA4HM	FLEX IPAD 4 HOME	FLEX HOME	APPLE	IPAD 4	HOME		 $50 	 $-   
110	BIPA4	BATERIA IPAD 4	BATERIA	APPLE	IPAD 4	IPAD 4		 $550 	 $750 
111	BHIPA5	BOTON HOME IPAD AIR	BOTON HOME	APPLE	IPAD AIR	IPAD AIR		 $50 	 $-   
112	DIPA5	DISPLAY IPAD AIR	DISPLAY	APPLE	IPAD AIR	IPAD AIR		 $850 	 $-   
113	FIPA5CC	FLEX IPAD AIR CENTRO DE CARGA	FLEX CENTRO DE CARGA	APPLE	IPAD AIR	CENTRO DE CARGA		 $90 	 $-   
114	FIPA5HM	FLEX IPAD AIR HOME	FLEX HOME	APPLE	IPAD AIR	HOME		 $100 	 $-   
115	TIPA5	TOUCH IPAD AIR	TOUCH	APPLE	IPAD AIR			 $650 	 $990 
116	DTIPA6	DISPLAY IPAD AIR 2 + TOUCH	DISPLAY + TOUCH	APPLE	IPAD AIR 2	IPAD AIR 2		 $3,800 	 $4,500 
117	DIPAM	DISPLAY IPAD MINI	DISPLAY	APPLE	IPAD MINI	IPAD MINI		 $700 	 $-   
118	FIPAMCC	FLEX IPAD MINI CENTRO DE CARGA	FLEX CENTRO DE CARGA	APPLE	IPAD MINI	CENTRO DE CARGA		 $80 	 $-   
119	TIPAM	TOUCH IPAD MINI CON PARTES	TOUCH	APPLE	IPAD MINI	IPAD MINI CON PARTES		 $650 	 $1,100 
120	TIPAMSP	TOUCH IPAD MINI SIN PARTES	TOUCH	APPLE	IPAD MINI	IPAD MINI SIN PARTES		 $390 	 $-   
121	DIPAM2	DISPLAY IPAD MINI RETINA	DISPLAY	APPLE	IPAD MINI 2	IPAD MINI RETINA		 $950 	 $-   
122	TIPAM3	TOUCH IPAD MINI 3 CON PARTES	TOUCH	APPLE	IPAD MINI 3	IPAD MINI 3 CON PARTES		 $1,600 	
123	DIPH2	DISPLAY IPHONE 2G	DISPLAY	APPLE	IPHONE	IPHONE		 $800 	 $-   
124	FLEX02	FLEX IPHONE 2G ANTENA	FLEX ANTENA	APPLE	IPHONE 2G	ANTENA WIFI		 $60 	 $-   
125	FLEX03	FLEX IPHONE 2G AUDIO LINE	FLEX AUDIO LINE	APPLE	IPHONE 2G	AUDIO LINE		 $90 	 $-   
126	FLEX04	FLEX IPHONE 2G HOME/CENTRO DE CARGA	FLEX CENTRO DE CARGA	APPLE	IPHONE 2G	HOME		 $100 	 $-   
127	FLEX340	FLEX IPHONE 2G SPEAKER	FLEX SPEAKER	APPLE	IPHONE 2G	SPEAKER		 $60 	 $-   
