228	FLEX	APPLE	IPHONE 6	EXTENSION CONECTOR DISPLAY	EXTENSION FLEX HOME A SPEAKER	 $80 	 $80 	 $250 
229	FLEX HOME	APPLE	IPHONE 6	HOME		 $80 	 $80 	 $-   
230	FLEX HOME	APPLE	IPHONE 6	HOME BOTON		 $80 	 $80 	
231	FLEX ENCENDIDO	APPLE	IPHONE 6	ON/OFF		 $140 	 $150 	 $-   
232	FLEX AUDIO LINE	APPLE	IPHONE 6	VOLUMEN		 $80 	 $80 	
233	FLEX CAMARA TRASERA	APPLE	IPHONE 6	CAMARA PRINCIPAL		 $30 	 $30 	 $1,502 
234	SIM HOLDER	APPLE	IPHONE 6	IPHONE 6		 $50 	 $50 	
235	CARCASA/TAPA	APPLE	IPHONE 6	IPHONE 6		 $500 	 $550 	
236	ARO	APPLE	IPHONE 6	IPHONE 6		 $80 	 $80 	
237	BACKLIGTH	APPLE	IPHONE 6	IPHONE 6		 $130 	 $130 	 $500 
238	BATERIA	APPLE	IPHONE 6	IPHONE 6		 $250 	 $250 	
239	CAMARA FRONTAL	APPLE	IPHONE 6	IPHONE 6		 $250 	 $250 	
240	CAMARA TRASERA	APPLE	IPHONE 6	IPHONE 6		 $250 	 $250 	
241	SPEAKER	APPLE	IPHONE 6	IPHONE 6		 $50 	 $50 	 $-   
242	SPEAKER	APPLE	IPHONE 6	IPHONE 6		 $50 	 $50 	 $-   
243	TORNILLOS	APPLE	IPHONE 6	IPHONE 6		 $20 	 $20 	 $50 
244	VIDRIO	APPLE	IPHONE 6	IPHONE 6		 $160 	 $180 	
245	DISPLAY + TOUCH	APPLE	IPHONE 6 PLUS	IPHONE 6 PLUS		 $2,500 	 $2,500 	 $3,000 
246	FLEX EXTENSION CONECTOR DISPLAY	APPLE	IPHONE 6 PLUS	EXTENSION CONECTOR DISPLAY		 $120 	 $120 	
247	FLEX ENCENDIDO	APPLE	IPHONE 6 PLUS	ON/OFF		 $140 	 $150 	 $-   
248	FLEX CENTRO DE CARGA	APPLE	IPHONE 6 PLUS	CENTRO DE CARGA		 $180 	 $200 	 $-   
249	FLEX EXTENSION CONECTOR DISPLAY	APPLE	IPHONE 6 PLUS	EXTENSION CONECTOR DISPLAY	EXTENSION FLEX HOME A SPEAKER	 $80 	 $80 	
250	FLEX HOME	APPLE	IPHONE 6 PLUS	HOME		 $100 	 $100 	 $-   
251	FLEX HOME	APPLE	IPHONE 6 PLUS	HOME BOTON		 $60 	 $60 	 $250 
252	SIM HOLDER	APPLE	IPHONE 6 PLUS	IPHONE 6 PLUS		 $50 	 $50 	
253	BACKLIGTH	APPLE	IPHONE 6 PLUS	IPHONE 6 PLUS		 $150 	 $150 	 $500 
254	BATERIA	APPLE	IPHONE 6 PLUS	IPHONE 6 PLUS		 $350 	 $350 	
255	CAMARA FRONTAL	APPLE	IPHONE 6 PLUS	IPHONE 6 PLUS		 $200 	 $230 	
256	CAMARA TRASERA	APPLE	IPHONE 6 PLUS	IPHONE 6 PLUS		 $250 	 $250 	
257	TORNILLOS	APPLE	IPHONE 6 PLUS	IPHONE 6 PLUS		 $20 	 $20 	 $50 
258	DISPLAY + TOUCH	APPLE	IPHONE 6S	IPHONE 6S		 $3,700 	 $3,800 	
259	FLEX EXTENSION CONECTOR DISPLAY	APPLE	IPHONE 6S	EXTENSION CONECTOR DISPLAY		 $120 	 $120 	
260	FLEX HOME	APPLE	IPHONE 6S	HOME		 $80 	 $80 	 $380 
261	BATERIA	APPLE	IPHONE 6S	IPHONE 6S		 $300 	 $300 	 $750 
262	FLEX EXTENSION CONECTOR DISPLAY	APPLE	IPHONE 6S PLUS	EXTENSION CONECTOR DISPLAY		 $120 	 $120 	
263	FLEX CENTRO DE CARGA	APPLE	IPHONE 6S PLUS	CENTRO DE CARGA		 $450 	 $450 	 $850 
264	FLEX ENCENDIDO	APPLE	IPHONE 6S PLUS	ON/OFF		 $120 	 $140 	 $550 
265	BATERIA	APPLE	IPHONE 6S PLUS	IPHONE 6S PLUS		 $380 	 $380 	 $751 
266	CENTRO DE CARGA	APPLE	IPOD 1	IPOD 1		 $20 	 $30 	 $-   
267	DISPLAY	APPLE	IPOD 2	IPOD 2G		 $130 	 $150 	 $-   
268	TOUCH	APPLE	IPOD 2	IPOD 2		 $120 	 $120 	 $-   
269	DISPLAY	APPLE	IPOD 3	IPOD 3G		 $130 	 $150 	 $-   
270	TOUCH	APPLE	IPOD 3	IPOD 3		 $120 	 $120 	 $-   
271	CENTRO DE CARGA	APPLE	IPOD 3	IPOD 3		 $20 	 $30 	 $-   
272	CABLE USB	APPLE	IPOD 3.5MM	CABLE IPOD		 $65 	 $65 	 $-   
273	BOTON HOME	APPLE	IPOD 4	IPOD 4		 $25 	 $25 	 $-   
274	DISPLAY + TOUCH	APPLE	IPOD 4	IPOD 4		 $250 	 $250 	 $550 
275	BATERIA	APPLE	IPOD 4	IPOD 4		 $95 	 $95 	 $-   
276	CAMARA TRASERA	APPLE	IPOD 4	IPOD 4		 $50 	 $50 	 $-   
277	FLEX AUDIO LINE	APPLE	IPOD 4G	AUDIOLINE		 $80 	 $90 	 $-   
278	FLEX CENTRO DE CARGA	APPLE	IPOD 4G	CENTRO DE CARGA		 $50 	 $50 	 $-   
279	FLEX HOME	APPLE	IPOD 4G	HOME		 $30 	 $40 	 $-   
280	FLEX ENCENDIDO	APPLE	IPOD 4G	ON/OFF		 $60 	 $60 	 $-   
281	BOTON HOME	APPLE	IPOD 5	IPOD 5		 $25 	 $25 	 $-   
282	DISPLAY + TOUCH	APPLE	IPOD 5	IPOD 5		 $750 	 $750 	 $1,250 
283	FLEX CENTRO DE CARGA	APPLE	IPOD 5	CENTRO DE CARGA		 $120 	 $140 	 $-   
284	FLEX HOME	APPLE	IPOD 5	HOME		 $100 	 $120 	 $-   
285	CARCASA/TAPA	APPLE	IPOD 5	IPOD 5		 $500 	 $500 	 $-   
286	BATERIA	APPLE	IPOD 5	IPOD 5		 $150 	 $150 	 $300 
287	CAMARA FRONTAL	APPLE	IPOD 5	IPOD 5		 $60 	 $60 	
288	CAMARA TRASERA	APPLE	IPOD 5	IPOD 5		 $85 	 $85 	
289	BATERIA	APPLE	IPOD TOUCH	IPOD TOUCH		 $85 	 $95 	 $-   
